"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: dataSize","Param: keySize","Param: transformation"
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,15,"105,718026","1,236914","us/op",16384,32,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,15,"105,000418","1,302664","us/op",16384,64,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,15,"105,701331","1,247218","us/op",16384,128,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,15,"105,059838","0,947955","us/op",16384,256,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,15,"105,837433","0,923638","us/op",16384,448,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,15,"131,562575","2,400578","us/op",16384,32,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,15,"133,129958","2,789512","us/op",16384,64,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,15,"134,394719","2,957028","us/op",16384,128,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,15,"133,319017","2,504756","us/op",16384,256,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,15,"133,900022","2,934778","us/op",16384,448,Blowfish/CBC/NoPadding
