"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: formatterType"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,1,"258,788782",NaN,"ns/op",BASIC_ISO_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,1,"201,546733",NaN,"ns/op",ISO_OFFSET_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,1,"368,183162",NaN,"ns/op",ISO_OFFSET_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,1,"543,822458",NaN,"ns/op",ISO_OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,1,"652,943683",NaN,"ns/op",ISO_ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,1,"184,663652",NaN,"ns/op",ISO_ORDINAL_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,1,"321,733741",NaN,"ns/op",ISO_WEEK_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,1,"533,866902",NaN,"ns/op",ISO_INSTANT
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse","avgt",1,1,"667,067384",NaN,"ns/op",RFC_1123_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_chronology_query","avgt",1,1,"248,885140",NaN,"ns/op",BASIC_ISO_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_chronology_query","avgt",1,1,"208,635954",NaN,"ns/op",ISO_OFFSET_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_chronology_query","avgt",1,1,"389,923469",NaN,"ns/op",ISO_OFFSET_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_chronology_query","avgt",1,1,"538,456137",NaN,"ns/op",ISO_OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_chronology_query","avgt",1,1,"637,578763",NaN,"ns/op",ISO_ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_chronology_query","avgt",1,1,"201,121128",NaN,"ns/op",ISO_ORDINAL_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_chronology_query","avgt",1,1,"336,220902",NaN,"ns/op",ISO_WEEK_DATE
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterParseBenchmark.parse_chronology_query","avgt",1,1,"495,353091",NaN,"ns/op",ISO_INSTANT
