"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.fixed","avgt",1,15,"1,560781","0,964630","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.instant","avgt",1,15,"23,644339","0,257540","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.millis","avgt",1,15,"13,844914","0,267092","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.offset","avgt",1,15,"2,387533","0,008198","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.system","avgt",1,15,"0,278473","0,000322","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.system_default_zone","avgt",1,15,"4,007389","0,145940","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.system_utc","avgt",1,15,"0,278143","0,000611","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.tick","avgt",1,15,"2,198447","2,094854","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.tick_millis","avgt",1,15,"2,335935","0,054648","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.tick_minutes","avgt",1,15,"2,337024","0,049357","ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.tick_seconds","avgt",1,15,"2,340744","0,065439","ns/op"
