"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bytesSize"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.doubles","avgt",1,25,11.678264,0.029566,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.ints","avgt",1,25,11.040877,0.010330,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.longs","avgt",1,25,11.673660,0.019145,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.next_boolean","avgt",1,25,3.364872,0.032925,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.next_bytes","avgt",1,25,1690.209312,0.070617,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.next_double","avgt",1,25,5.774637,0.000912,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.next_exponential","avgt",1,25,4.813472,0.001219,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.next_float","avgt",1,25,3.532588,0.000073,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.next_gaussian","avgt",1,25,42.855535,0.124357,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.next_int","avgt",1,25,2.938241,0.015075,"ns/op",1024
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.ThreadLocalRandomBenchmark.next_long","avgt",1,25,3.193209,0.000084,"ns/op",1024
