"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: chunkSize","Param: fileSize"
"com.ionutbalosin.jvm.performance.benchmarks.macro.diskio.RandomAccessFileBenchmark.read","avgt",1,25,2.749063,0.004735,"us/op",_1_KB,_64_MB
"com.ionutbalosin.jvm.performance.benchmarks.macro.diskio.RandomAccessFileBenchmark.write","avgt",1,25,4.768853,0.020380,"us/op",_1_KB,_64_MB
