"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: chunkSize","Param: fileSize","Param: streamType"
"com.ionutbalosin.jvm.performance.benchmarks.macro.diskio.FilterInputStreamBenchmark.read","avgt",1,25,0.445207,0.002146,"us/op",_1_KB,_64_MB,BUFFERED_IN_STREAM
"com.ionutbalosin.jvm.performance.benchmarks.macro.diskio.FilterInputStreamBenchmark.read","avgt",1,25,1.704672,0.004275,"us/op",_1_KB,_64_MB,DATA_IN_STREAM
