"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: nodes"
"com.ionutbalosin.jvm.performance.benchmarks.macro.dijkstrashortestpath.DijkstraShortestPathBenchmark.adjacency_list_binary_heap","avgt",1,25,473.352054,4.204219,"ms/op",8192
"com.ionutbalosin.jvm.performance.benchmarks.macro.dijkstrashortestpath.DijkstraShortestPathBenchmark.adjacency_matrix","avgt",1,25,249.921198,0.148856,"ms/op",8192
