"VM","Normalized.Geometric.Mean","Nr.of.Benchmarks","Benchmarks.Unit"
"OpenJDK HotSpot VM",1,28,"ns/op"
"GraalVM CE",1.01,28,"ns/op"
"Oracle GraalVM",0.86,28,"ns/op"
"Azul Prime VM",0.87,28,"ns/op"
