"VM","Normalized.Geometric.Mean","Nr.of.Benchmarks","Benchmarks.Unit"
"OpenJDK HotSpot VM",1,1109,"ns/op"
"GraalVM CE",1.08,1109,"ns/op"
"Oracle GraalVM",0.83,1109,"ns/op"
"Azul Prime VM",NA,0,"ns/op"
