"Compiler","Normalized.Geometric.Mean","Nr.of.Benchmarks","Benchmarks.Unit"
"C2 JIT",1,298,"ns/op"
"GraalVM CE JIT",1.32,298,"ns/op"
"Oracle GraalVM JIT",0.77,298,"ns/op"
"Azul Prime JIT",NA,0,"ns/op"
